"country","year","connectivity_index","iso"
"Chile","2020",36.2350996416,"CHL"
"China","2006",100,"CHN"
"China","2007",108.2260772389,"CHN"
"China","2008",117.5327393187,"CHN"
"China","2009",118.5020386769,"CHN"
"China","2010",164.0657572148,"CHN"
"China","2011",130.6719443046,"CHN"
"China","2012",129.5638304008,"CHN"
"China","2013",131.3017661626,"CHN"
"China","2014",133.0408997072,"CHN"
"China","2015",138.5112403927,"CHN"
"China","2016",141.796912339,"CHN"
"China","2017",139.4286750028,"CHN"
"China","2018",150.0534720755,"CHN"
"China","2019",152.8773841795,"CHN"
"China","2020",158.6294181658,"CHN"
"Hong Kong SAR China","2006",84.1547511192,"HKG"
"Hong Kong SAR China","2007",86.7577072873,"HKG"
"Hong Kong SAR China","2008",92.7244406999,"HKG"
"Hong Kong SAR China","2009",91.6960807104,"HKG"
"Hong Kong SAR China","2010",93.9370332977,"HKG"
"Hong Kong SAR China","2011",96.178279278,"HKG"
"Hong Kong SAR China","2012",92.7191345957,"HKG"
"Hong Kong SAR China","2013",92.0113421891,"HKG"
"Hong Kong SAR China","2014",94.0321581692,"HKG"
"Hong Kong SAR China","2015",92.0583617901,"HKG"
"Hong Kong SAR China","2016",89.7531007952,"HKG"
"Hong Kong SAR China","2017",89.9037525584,"HKG"
"Hong Kong SAR China","2018",92.8434426328,"HKG"
"Hong Kong SAR China","2019",89.3329754176,"HKG"
"Hong Kong SAR China","2020",93.6418859936,"HKG"
"Taiwan","2006",59.3145942618,"TWN"
"Taiwan","2007",59.3649472506,"TWN"
"Taiwan","2008",57.6705181743,"TWN"
"Taiwan","2009",58.4059180848,"TWN"
"Taiwan","2010",85.6080466258,"TWN"
"Taiwan","2011",57.3019249015,"TWN"
"Taiwan","2012",57.3433211306,"TWN"
"Taiwan","2013",57.5944682258,"TWN"
"Taiwan","2014",58.1652776677,"TWN"
"Taiwan","2015",65.5002003086,"TWN"
"Taiwan","2016",67.102325806,"TWN"
"Taiwan","2017",65.8086123038,"TWN"
"Taiwan","2018",67.8325029269,"TWN"
"Taiwan","2019",78.6961911934,"TWN"
"Taiwan","2020",78.5878541717,"TWN"
"Cocos (Keeling) Islands","2006",0.8798563378,"CCK"
"Cocos (Keeling) Islands","2007",0.8798563378,"CCK"
"Cocos (Keeling) Islands","2008",NA,"CCK"
"Cocos (Keeling) Islands","2009",NA,"CCK"
"Cocos (Keeling) Islands","2010",NA,"CCK"
"Cocos (Keeling) Islands","2011",NA,"CCK"
"Cocos (Keeling) Islands","2012",NA,"CCK"
"Cocos (Keeling) Islands","2013",NA,"CCK"
"Cocos (Keeling) Islands","2014",NA,"CCK"
