"country","year","fossil_share_energy","region","iso","inv_dummy","bri_dummy","gdp","industry_share","pop_size","resource_rents","trade_share_gdp","urban_pop_share","covid_19"
"Mexico",2006,93.206,"Latin America & Caribbean","MEX",0,0,9068.29421839425,34.1952791030793,18.4935608304201,5.7269185646241,56.0927246318034,76.616,0
"Mexico",2007,93.638,"Latin America & Caribbean","MEX",0,0,9642.68051672231,33.8351374948798,18.5084214657387,5.16450656985987,56.7952793615147,76.92,0
"Mexico",2008,92.354,"Latin America & Caribbean","MEX",0,0,10016.5712139986,34.7561916984963,18.5233751567143,6.08787763805871,57.7770309296138,77.222,0
"Mexico",2009,93.906,"Latin America & Caribbean","MEX",0,0,8002.97217765844,31.8940938511825,18.5381427147396,3.65852698193537,55.9677697591441,77.52,0
"Mexico",2010,93.296,"Latin America & Caribbean","MEX",0,0,9271.39839576997,32.3619104538285,18.5525241214306,4.25298981872068,60.7603184699927,77.815,0
"Mexico",2011,93.2,"Latin America & Caribbean","MEX",0,0,10203.4212952716,33.556801094017,18.5664720211288,5.81460784743066,63.4696779207521,78.111,0
"Mexico",2012,93.78,"Latin America & Caribbean","MEX",0,0,10241.727828043,33.7764665245485,18.5800249653931,5.49822436490413,65.7672458233911,78.405,0
"Mexico",2013,93.815,"Latin America & Caribbean","MEX",1,0,10725.1835873796,31.8563175636679,18.5931805414608,4.8381578785749,63.7648766108259,78.699,0
"Mexico",2014,92.487,"Latin America & Caribbean","MEX",1,0,10928.9160089988,31.4901871470131,18.6059574051212,4.01708785683629,64.9253579018616,78.993,0
"Mexico",2015,92.926,"Latin America & Caribbean","MEX",1,0,9616.64555810607,29.9853032661018,18.6183690501459,1.68635287923398,71.0890901134614,79.285,0
"Mexico",2016,93.012,"Latin America & Caribbean","MEX",1,0,8744.51555912786,29.6399553095595,18.6304016452046,1.27679068389077,76.0622091378111,79.577,0
"Mexico",2017,92.797,"Latin America & Caribbean","MEX",1,0,9287.84958732302,30.946234976635,18.642041314701,1.76045408209323,77.1157445044434,79.867,0
"Mexico",2018,91.967,"Latin America & Caribbean","MEX",1,0,9686.98492655586,31.1488466948457,18.6533054626144,2.40070973117687,80.5593842287784,80.156,0
"Mexico",2019,91.482,"Latin America & Caribbean","MEX",1,0,9950.45008048459,30.8319075235582,18.6642191314862,1.89870967489548,77.8828590969072,80.444,0
"Morocco",2005,98.042,"Middle East & North Africa","MAR",0,0,2018.02554710957,26.1539373971862,17.2317792283731,0.00732695121338045,67.9148544916014,55.174,0
"Morocco",2006,98.102,"Middle East & North Africa","MAR",0,0,2196.01127633502,25.1539438817653,17.2431774766162,0.0104953401446423,71.4962867805158,55.746,0
"Morocco",2007,98.071,"Middle East & North Africa","MAR",0,0,2499.25993757187,24.6660386391364,17.2547635512355,0.0102359458740369,78.4871743394128,56.317,0
"Morocco",2008,98.214,"Middle East & North Africa","MAR",1,0,2890.36071538625,26.7642919609071,17.2666658978494,0.0101042849756963,85.6728209004978,56.886,0
"Morocco",2009,95.559,"Middle East & North Africa","MAR",1,0,2866.92411016989,24.2382258514889,17.2790279704832,0.0069699522396548,67.91510294823,57.452,0
"Morocco",2010,94.447,"Middle East & North Africa","MAR",1,0,2839.92611978697,25.6573849385183,17.291920044858,0.00862911400088479,75.2476345357776,58.018,0
"Morocco",2011,96.568,"Middle East & North Africa","MAR",1,0,3046.94785427611,26.6121352019384,17.305385871586,0.0125043814967681,83.4268001663258,58.581,0
"Morocco",2012,97.068,"Middle East & North Africa","MAR",1,0,2912.65827494029,26.4073614103866,17.319321626201,0.0122857291321474,85.1249172938184,59.142,0
"Morocco",2013,95.182,"Middle East & North Africa","MAR",1,0,3121.68008083643,26.1685021989636,17.3334743105061,0.0119792158306308,80.0205585556891,59.7,0
"Morocco",2014,95.798,"Middle East & North Africa","MAR",1,0,3171.69919227376,26.4906373193167,17.3475127267717,0.0102669247899833,81.7722741890864,60.256,0
"Morocco",2015,94.914,"Middle East & North Africa","MAR",1,0,2875.25798516781,26.094033098841,17.3612009337757,0.00716681530392631,77.1980363378713,60.809,0
"Morocco",2016,94.718,"Middle East & North Africa","MAR",1,0,2896.72219562665,25.8922711450225,17.3744599554231,0.0038956861096437,80.8605951862807,61.36,0
"Morocco",2017,95.01,"Middle East & North Africa","MAR",1,1,3035.45443323105,26.1594758453311,17.3873295684143,0.00412059202505912,83.9991721893241,61.908,0
"Morocco",2018,93.285,"Middle East & North Africa","MAR",1,1,3226.98279356862,25.8737549201011,17.3998371979195,0.0046504417041043,87.9757826828681,62.453,0
"Morocco",2019,92.914,"Middle East & North Africa","MAR",1,1,3235.00066048238,25.324122185346,17.4120489849742,0.00348568824559794,87.2255175632327,62.994,0
"Netherlands",2005,97.22,"Europe & Central Asia","NLD",0,0,41979.0558457881,21.0231573673539,16.6078938192322,0.435185290008335,122.806657675042,82.63,0
"Netherlands",2006,97.117,"Europe & Central Asia","NLD",0,0,44863.3506314287,21.2063721246916,16.6094999559208,0.72841371530115,127.772151379019,83.636,0
"Netherlands",2007,96.812,"Europe & Central Asia","NLD",1,0,51733.4421317965,21.1550947235816,16.6116751719327,0.681040313909724,130.457871020883,84.539,0
"Netherlands",2008,96.388,"Europe & Central Asia","NLD",1,0,57644.4799749353,21.5099552223585,16.6155680965477,1.03199747070626,131.05989202686,85.402,0
"Netherlands",2009,95.908,"Europe & Central Asia","NLD",1,0,52514.0271165323,20.30849398728,16.620710941996,0.868779736949093,116.889549678159,86.288,0
"Netherlands",2010,96.28,"Europe & Central Asia","NLD",1,0,50950.0343435181,19.6942365849118,16.6258401730016,0.808126391298103,131.522074134799,87.134,0
"Netherlands",2011,95.726,"Europe & Central Asia","NLD",1,0,54159.3466126142,20.0661480812905,16.6305044608236,1.0764905146394,142.471773282141,87.879,0
"Netherlands",2012,95.599,"Europe & Central Asia","NLD",1,0,50073.0056559308,20.0181939028985,16.6342050111713,1.19178697510058,149.268415200791,88.588,0
"Netherlands",2013,95.845,"Europe & Central Asia","NLD",1,0,52184.0618504931,19.3341640636947,16.6371532191057,1.15553560832866,149.549331302435,89.187,0
"Netherlands",2014,95.375,"Europe & Central Asia","NLD",1,0,52830.1742328055,18.4123533265829,16.6407515008329,0.715319074282671,150.053755435106,89.69,0
"Netherlands",2015,95.008,"Europe & Central Asia","NLD",1,0,45175.2318933798,18.1860210316402,16.6451837017233,0.427102874865661,157.816576039698,90.173,0
